Vds_at_Vgs_0.4V,Id,Vds_at_Vgs_0.5V,Id,Vds_at_Vgs_0.6V,Id,Vds_at_Vgs_0.7V,Id,Vds_at_Vgs_0.8V,Id
0.2720000000000001,2.900082729570091e-06,0.2720000000000001,1.335691292983154e-05,0.2720000000000001,3.351345902698277e-05,0.2720000000000001,5.899609145679585e-05,0.2720000000000001,8.471303895383921e-05
0.2880000000000001,2.938038602858033e-06,0.2880000000000001,1.351800231464033e-05,0.2880000000000001,3.399129307329374e-05,0.2880000000000001,6.008414179312594e-05,0.2880000000000001,8.661903369591737e-05
0.3040000000000002,2.975131043787393e-06,0.3040000000000002,1.367158338021707e-05,0.3040000000000002,3.442980397986473e-05,0.3040000000000002,6.106555125502778e-05,0.3040000000000002,8.833979830532704e-05
0.3200000000000002,3.011419181353558e-06,0.3200000000000002,1.381855482681865e-05,0.3200000000000002,3.483531877997065e-05,0.3200000000000002,6.195576458237908e-05,0.3200000000000002,8.989777213586438e-05
0.3360000000000002,3.046968810474721e-06,0.3360000000000002,1.395967361276991e-05,0.3360000000000002,3.52128892911969e-05,0.3360000000000002,6.276784703468697e-05,0.3360000000000002,9.131294412469143e-05
0.3520000000000002,3.08184736365282e-06,0.3520000000000002,1.409559177044653e-05,0.3520000000000002,3.556659637505443e-05,0.3520000000000002,6.351282927916081e-05,0.3520000000000002,9.260300672648442e-05
0.3680000000000002,3.1161206099731e-06,0.3680000000000002,1.422687721384191e-05,0.3680000000000002,3.58997716520508e-05,0.3680000000000002,6.420001411070207e-05,0.3680000000000002,9.378352505332063e-05
0.3840000000000002,3.149850718040389e-06,0.3840000000000002,1.435402708648625e-05,0.3840000000000002,3.621516085241597e-05,0.3840000000000002,6.48372455036129e-05,0.3840000000000002,9.486811861854705e-05
0.4000000000000002,3.1830952752492e-06,0.4000000000000002,1.447747754982693e-05,0.4000000000000002,3.651504590611324e-05,0.4000000000000002,6.543114160696463e-05,0.4000000000000002,9.58686507908513e-05
0.4160000000000003,3.215906929020299e-06,0.4160000000000003,1.459761171184672e-05,0.4160000000000003,3.680133757708689e-05,0.4160000000000003,6.598729413624851e-05,0.4160000000000003,9.679541933040552e-05
0.4320000000000003,3.248333407082232e-06,0.4320000000000003,1.471476640879529e-05,0.4320000000000003,3.707564675435876e-05,0.4320000000000003,6.65104372645255e-05,0.4320000000000003,9.765734138804536e-05
0.4480000000000003,3.280417753276781e-06,0.4480000000000003,1.482923813600714e-05,0.4480000000000003,3.733934001915689e-05,0.4480000000000003,6.70045894941735e-05,0.4480000000000003,9.846212763577853e-05
0.4640000000000003,3.312198673548024e-06,0.4640000000000003,1.494128826097753e-05,0.4640000000000003,3.759358343783594e-05,0.4640000000000003,6.747317208281933e-05,0.4640000000000003,9.921644198669049e-05
0.4800000000000003,3.3437109260424e-06,0.4800000000000003,1.505114759542078e-05,0.4800000000000003,3.783937740656341e-05,0.4800000000000003,6.791910746023944e-05,0.4800000000000003,9.992604508868794e-05
0.4960000000000003,3.374985716547842e-06,0.4960000000000003,1.515902038710441e-05,0.4960000000000003,3.807758460674056e-05,0.4960000000000003,6.834490078728451e-05,0.4960000000000003,0.0001005959211611505
0.5120000000000003,3.406051077431562e-06,0.5120000000000003,1.526508778932305e-05,0.5120000000000003,3.830895259702818e-05,0.5120000000000003,6.875270744680105e-05,0.5120000000000003,0.0001012303887159881
0.5280000000000004,3.436932218883061e-06,0.5280000000000004,1.536951086477748e-05,0.5280000000000004,3.853413219000048e-05,0.5280000000000004,6.91443888746903e-05,0.5280000000000004,0.0001018331963055033
0.5440000000000004,3.467651847749308e-06,0.5440000000000004,1.547243317903441e-05,0.5440000000000004,3.875369248848475e-05,0.5440000000000004,6.952155877156432e-05,0.5440000000000004,0.0001024076047511522
0.5600000000000004,3.498230453058315e-06,0.5600000000000004,1.557398303662528e-05,0.5600000000000004,3.896813325600989e-05,0.5600000000000004,6.988562140101086e-05,0.5600000000000004,0.000102956457415587
0.5760000000000004,3.528686559458345e-06,0.5760000000000004,1.567427540692652e-05,0.5760000000000004,3.917789514606979e-05,0.5760000000000004,7.023780338742376e-05,0.5760000000000004,0.000103482240057448
0.5920000000000004,3.559036950896685e-06,0.5920000000000004,1.577341358285175e-05,0.5920000000000004,3.938336820172389e-05,0.5920000000000004,7.05791801760336e-05,0.5920000000000004,0.0001039871317088196
