Vgs_at_Vds_0.4V,Square_root_of_Id,Vgs_at_Vds_0.5V,Square_root_of_Id,Vgs_at_Vds_0.6V,Square_root_of_Id,Vgs_at_Vds_0.7V,Square_root_of_Id,Vgs_at_Vds_0.8V,Square_root_of_Id
0.4640000000000003,0.003025774128900272,0.4640000000000003,0.00310435721953873,0.4640000000000003,0.003174980280771757,0.4640000000000003,0.003240794128776042,0.4640000000000003,0.00330346733275691
0.4800000000000003,0.003367198367890579,0.4800000000000003,0.003451696244218695,0.4800000000000003,0.003526925516688926,0.4800000000000003,0.003596564825836796,0.4800000000000003,0.003662546667225664
0.4960000000000003,0.003716584432018292,0.4960000000000003,0.003807040592293868,0.4960000000000003,0.003886797289613003,0.4960000000000003,0.003960125014097524,0.4960000000000003,0.004029246199515489
0.5120000000000003,0.004071835765383176,0.5120000000000003,0.004168319087882264,0.5120000000000003,0.004252533476012899,0.5120000000000003,0.004329416984340019,0.5120000000000003,0.004401511342439381
0.5280000000000004,0.004430908312455993,0.5280000000000004,0.004533522649586148,0.5280000000000004,0.004622137581665801,0.5280000000000004,0.004702449935003672,0.5280000000000004,0.004777354779237652
0.5440000000000004,0.004791808326519889,0.5440000000000004,0.004900700896132833,0.5440000000000004,0.004993676004559144,0.5440000000000004,0.005077298451606933,0.5440000000000004,0.005154856462040589
0.5600000000000004,0.005152612937250396,0.5600000000000004,0.005267978195000993,0.5600000000000004,0.005365293986662817,0.5600000000000004,0.005452119778578449,0.5600000000000004,0.005532182784930456
0.5760000000000004,0.005511514192544502,0.5760000000000004,0.005633591286317994,0.5760000000000004,0.005735251990280107,0.5760000000000004,0.005825190669341059,0.5760000000000004,0.005907624519070525
0.5920000000000004,0.005866872543499445,0.5920000000000004,0.005995937253472152,0.5920000000000004,0.006101971588208425,0.5920000000000004,0.006194952421998218,0.5920000000000004,0.006279641373787428
0.6080000000000004,0.006217260852532788,0.6080000000000004,0.006353614800745329,0.6080000000000004,0.006464074624449827,0.6080000000000004,0.006560048254893049,0.6080000000000004,0.006646897648528229
0.6240000000000004,0.006561487201851715,0.6240000000000004,0.006705447060013875,0.6240000000000004,0.00682040450266858,0.6240000000000004,0.006919342681027459,0.6240000000000004,0.00700827952447692
0.6400000000000005,0.006898595466072887,0.6400000000000005,0.007050483717537032,0.6400000000000005,0.007170027559372972,0.6400000000000005,0.007271921418809594,0.6400000000000005,0.007362893258173368
0.6560000000000005,0.00722784932575573,0.6560000000000005,0.007387986988102652,0.6560000000000005,0.007512218882104319,0.6560000000000005,0.007617076367755233,0.6560000000000005,0.0077100490804743
0.6720000000000005,0.007548706971296746,0.6720000000000005,0.007717408041946299,0.6720000000000005,0.007846438925394177,0.6720000000000005,0.007954281902010705,0.6720000000000005,0.008049236999537052
0.6880000000000005,0.007860792401979677,0.6880000000000005,0.008038359588900822,0.6880000000000005,0.008172306430273947,0.6880000000000005,0.008283167807281173,0.6880000000000005,0.008380099656332679
0.7040000000000005,0.008163867135299478,0.7040000000000005,0.008350588467097004,0.7040000000000005,0.008489571378364761,0.7040000000000005,0.008603492434909125,0.7040000000000005,0.00870240563374289
0.7200000000000005,0.008457804373417992,0.7200000000000005,0.008653950390011354,0.7200000000000005,0.008798090080218495,0.7200000000000005,0.008915118066583669,0.7200000000000005,0.009016025087934349
0.7360000000000005,0.008742566483479512,0.7360000000000005,0.008948387814128583,0.7360000000000005,0.009097803341719675,0.7360000000000005,0.009217989372106645,0.7360000000000005,0.009320908507643395
0.7520000000000006,0.009018185951367766,0.7520000000000006,0.009233911166795955,0.7520000000000006,0.009388717946680371,0.7520000000000006,0.009512115167154464,0.7520000000000006,0.009617068766561711
0.7680000000000006,0.00928474960603618,0.7680000000000006,0.009510583284831781,0.7680000000000006,0.009670891311433711,0.7680000000000006,0.009797553313654865,0.7680000000000006,0.009904566291555592
0.7840000000000006,0.009542385750915011,0.7840000000000006,0.009778506733341333,0.7840000000000006,0.009944418987917907,0.7840000000000006,0.01007439843579295,0.7840000000000006,0.01018349701239799
0.8,0.009791253790544463,0.8,0.01003781361191451,0.8,0.01020942462924163,0.8,0.01034277206696414,0.8,0.01045398270767989
